ticker,trade_date,close,volume,dollar_volume,as_of,source,fetched_at
STBL,2025-09-15,51.532,1538461.54,79280000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-09-16,51.688,1538461.54,79520000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-09-17,51.844,1538461.54,79760000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-09-18,52.0,1538461.54,80000000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-09-19,52.156,1538461.54,80240000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-09-22,52.312,1538461.54,80480000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-09-23,52.468,1538461.54,80720000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-09-24,51.532,1538461.54,79280000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-09-25,51.688,1538461.54,79520000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-09-26,51.844,1538461.54,79760000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-09-29,52.0,1538461.54,80000000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-09-30,52.156,1538461.54,80240000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-10-01,52.312,1538461.54,80480000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-10-02,52.468,1538461.54,80720000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-10-03,51.532,1538461.54,79280000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-10-06,51.688,1538461.54,79520000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-10-07,51.844,1538461.54,79760000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-10-08,52.0,1538461.54,80000000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-10-09,52.156,1538461.54,80240000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-10-10,52.312,1538461.54,80480000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-10-13,52.468,1538461.54,80720000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-10-14,51.532,1538461.54,79280000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-10-15,51.688,1538461.54,79520000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-10-16,51.844,1538461.54,79760000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-10-17,52.0,1538461.54,80000000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-10-20,52.156,1538461.54,80240000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-10-21,52.312,1538461.54,80480000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-10-22,52.468,1538461.54,80720000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-10-23,51.532,1538461.54,79280000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-10-24,51.688,1538461.54,79520000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-10-27,51.844,1538461.54,79760000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-10-28,52.0,1538461.54,80000000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-10-29,52.156,1538461.54,80240000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-10-30,52.312,1538461.54,80480000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-10-31,52.468,1538461.54,80720000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-11-03,51.532,1538461.54,79280000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-11-04,51.688,1538461.54,79520000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-11-05,51.844,1538461.54,79760000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-11-06,52.0,1538461.54,80000000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-11-07,52.156,1538461.54,80240000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-11-10,52.312,1538461.54,80480000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-11-11,52.468,1538461.54,80720000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-11-12,51.532,1538461.54,79280000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-11-13,51.688,1538461.54,79520000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-11-14,51.844,1538461.54,79760000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-11-17,52.0,1538461.54,80000000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-11-18,52.156,1538461.54,80240000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-11-19,52.312,1538461.54,80480000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-11-20,52.468,1538461.54,80720000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-11-21,51.532,1538461.54,79280000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-11-24,51.688,1538461.54,79520000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-11-25,51.844,1538461.54,79760000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-11-26,52.0,1538461.54,80000000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-11-27,52.156,1538461.54,80240000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-11-28,52.312,1538461.54,80480000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-12-01,52.468,1538461.54,80720000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-12-02,51.532,1538461.54,79280000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-12-03,51.688,1538461.54,79520000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-12-04,51.844,1538461.54,79760000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-12-05,52.0,1538461.54,80000000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-12-08,52.156,1538461.54,80240000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-12-09,52.312,1538461.54,80480000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
STBL,2025-12-10,52.468,1538461.54,80720000.0,2026-01-09,sample,2026-01-09T13:00:00+00:00
