rank,ticker,price,expected_irr,median_irr,p10_irr,p90_irr,above_hurdle_weight,hurdle_rate,permanent_loss_weight,expected_shortfall,hurdle_cvar,intrinsic_value_low,intrinsic_value_base,intrinsic_value_high,upside_to_base,model_confidence,data_confidence,model_uncertainty,business_quality,valuation_excess,evidence_confidence,name,sector,industry,model_family,market_cap,financial_persistence_score,roic,incremental_roic,wacc,roic_minus_wacc,normalized_operating_margin,current_operating_margin,revenue_cagr,net_debt_to_ebitda,sbc_intensity,net_share_change_cagr,risk_flags,years_of_data,latest_fiscal_year,anchor_source,latest_filing_date,price_as_of,is_price_fresh,downside_penalty,ambiguity_penalty,permanent_loss_penalty,hurdle_penalty,robust_return
1,TNET,47.82,0.43898501161020254,0.4596604312071577,0.2630611095810309,0.5735580744454637,1.0,0.12,0.0,0.0,0.0,89.35248972285186,172.32513598538443,244.944177262751,2.603620576858729,0.8031,1.0,0.1611554824322164,0.9324,0.3396604312071577,0.8031,"TriNet Group, Inc.",Industrials,Staffing & Employment Services,general_dcf,2197072828.0,0.9324,0.3025964267824344,,0.07987372640732954,0.2227227003751049,0.08143872997307641,0.05521844660194175,0.05244559690833861,1.7514450867052023,0.01286364535919256,-0.09779347996532628,thin_interest_coverage,8,2025,ttm,2026-04-30,2026-06-11,True,0.0,0.0805777412161082,0.0,0.0,0.2727812923024684
2,HRB,35.89,0.42831106038065625,0.45587319855112585,0.19122410223353656,0.6102737421868368,1.0,0.12,0.0,0.0,0.0,54.332211503084906,127.15017536854845,201.5685297514616,2.542774459976273,0.6752,1.0,0.21926881997665013,0.9301,0.33587319855112585,0.6752,"H&R Block, Inc.",Consumer Cyclical,Personal Products & Services,general_dcf,4549423829.0,0.9301,0.750375211960054,,0.065,0.685375211960054,0.2153561059784242,0.2618077713244983,0.025188188238227216,0.9955650428423283,0.009021984715676152,-0.08929484461765447,,8,2025,ttm,2026-05-06,2026-06-11,True,0.0,0.10963440998832506,0.0,0.0,0.2267815836617202
3,UHS,146.05,0.32403219195693966,0.342911406152416,0.1641508895903826,0.44615506593254395,1.0,0.12,0.0,0.0,0.0,182.5137108672223,339.8108089987818,481.2206532418358,1.3266744881806352,0.8534,1.0,0.14540008817108066,0.7851,0.222911406152416,0.8534,"Universal Health Services, Inc.",Healthcare,Medical - Care Facilities,general_dcf,9143655373.0,0.7851,0.12468849972603302,0.22875878037240152,0.07951206321951695,0.045176436506516066,0.10734202554714209,0.11497840885602606,0.0705902397892153,1.87669620079509,0.006142007240454682,-0.05801175829131966,,8,2025,ttm,2026-05-07,2026-06-11,True,0.0,0.07270004408554033,0.0,0.0,0.19023259401047182
4,EEFT,66.07,0.3522244089923333,0.3766169190523214,0.12524717061314733,0.530416627251543,1.0,0.12,0.0,0.0,0.0,80.9469369690826,193.41093619826637,316.119744665994,1.9273639503294442,0.7,1.0,0.21158472831919786,0.8744,0.2566169190523214,0.7,"Euronet Worldwide, Inc.",Technology,Software - Infrastructure,general_dcf,2515621461.0,0.8744,0.20643879267293616,0.33053712610768354,0.065,0.14143879267293616,0.12108782550866151,0.12136850593249626,0.0763019492988144,0.8473997028231798,0.012935299938739927,-0.04210739667123764,,8,2025,ttm,2026-05-07,2026-06-11,True,0.0,0.10579236415959893,0.0,0.0,0.179631843336625
5,ALSN,115.52,0.3135530266925344,0.33981767672812574,0.11072238060296513,0.463854372710921,0.75,0.12,0.0,0.0,0.009277619397034864,123.1096383376277,284.3074773813299,430.8594977441178,1.4611104343951689,0.7295,1.0,0.18468099605397795,0.7918,0.21981767672812574,0.7295,"Allison Transmission Holdings, Inc.",Consumer Cyclical,Auto - Parts,general_dcf,9580766720.0,0.7918,0.11880847772463098,0.9274037347018712,0.07793011244889114,0.040878365275739834,0.3051987791016947,0.24136986301369864,0.014951391020015858,4.186243386243386,0.007248764415156508,-0.04334846534420844,elevated_leverage,8,2025,ttm,2026-05-07,2026-06-11,True,0.0,0.09234049802698897,0.0,0.009277619397034864,0.15107937577613287
6,OMC,75.59,0.2918077157693915,0.29841341911815106,0.20646073266398166,0.3639432921772823,1.0,0.12,0.0,0.0,0.0,141.7615626388047,208.7842957151408,269.84903536378715,1.7620623854364434,0.842,1.0,0.0834812797566503,0.8257,0.17841341911815106,0.842,Omnicom Group Inc.,Communication Services,Advertising Agencies,general_dcf,21543618356.0,0.8257,0.12020685388272208,0.02465586598481794,0.0657532429968131,0.054453610885908985,0.14642359336986555,0.13704828393293114,0.017562263432874925,2.3306464613896503,0.005825700645671198,-0.0033931429086506704,incremental_roic_below_wacc,8,2025,ttm,2026-04-29,2026-06-11,True,0.0,0.04174063987832515,0.0,0.0,0.1502240988974832
7,HLF,12.2,0.3198248504311778,0.2836692631710321,0.2836692631710321,0.3664911183994264,1.0,0.12,0.0,0.0,0.0,32.131232731846815,34.070350856984724,47.171413559884584,1.7926517095889118,0.7464,1.0,0.049018927614197155,0.6878,0.1636692631710321,0.7464,Herbalife Nutrition Ltd.,Consumer Defensive,Packaged Foods,general_dcf,1264761800.0,0.6878,-0.47341981323942917,-0.47239513312670284,0.08594483407006392,-0.5593646473094931,0.11017586207040977,0.09090200662380674,0.004201601130570998,-0.489002557544757,0.009481668773704172,0.02896846996291713,thin_interest_coverage;incremental_roic_below_wacc,8,2025,ttm,2026-05-06,2026-06-11,True,0.0,0.024509463807098578,0.0,0.0,0.12216273803085834
8,SMPL,12.64,0.27089928698260335,0.2877721420489252,0.13794606328010564,0.3701068005524575,1.0,0.12,0.0,0.0,0.0,16.317103397251923,29.12538214320927,42.25829855154481,1.3042232708235182,0.6567,1.0,0.1263793686361759,0.6445,0.1677721420489252,0.6567,The Simply Good Foods Company,Consumer Defensive,Packaged Foods,general_dcf,1143780960.0,0.6445,0.08383191631566976,0.07183297918119051,0.065,0.01883191631566976,0.15913298190059638,0.1385304983448759,0.18918037450399505,1.298881628549887,0.0,-0.02810705388884105,cyclical_revenue,8,2025,ttm,2026-04-09,2026-06-11,True,0.0,0.06318968431808795,0.0,0.0,0.11017596568352918
9,NSP,37.68,0.2944991782074794,0.312408515252173,0.08362950652372095,0.46955017580185077,0.75,0.12,0.0,0.0,0.03637049347627905,39.680592400693804,95.22323012503702,164.47907628013536,1.527155788881025,0.6477,1.0,0.20352933463906492,0.397,0.192408515252173,0.6477,"Insperity, Inc.",Industrials,Staffing & Employment Services,general_dcf,1438214778.0,0.397,0.2033589129935086,,0.07207490383935898,0.13128400915414962,0.03849484175647018,-0.0023378141437755697,0.08579698848212258,-4.310344827586207,0.008954785672342924,-0.007970268921787649,thin_interest_coverage,8,2025,ttm,2026-04-30,2026-06-11,True,0.0,0.10176466731953246,0.0,0.03637049347627905,0.08825250185255341
10,INVA,22.44,0.26981431611347945,0.26401934968307617,0.1535574008245021,0.3976611642632634,1.0,0.12,0.0,0.0,0.0,31.173091532252425,49.131661104556166,80.01907239787451,1.1894679636611483,0.5598,1.0,0.13525788171938066,0.6518,0.14401934968307617,0.5598,"Innoviva, Inc.",Healthcare,Biotechnology,general_dcf,1656268328.0,0.6518,0.04918587010523752,-0.6191721394093233,0.06613491589143099,-0.016949045786193467,0.7687739034065466,0.14846907257817327,0.07217951815748291,-1.754829467257213,0.018800952126340337,-0.03780720364585888,weak_cash_conversion;incremental_roic_below_wacc,8,2025,ttm,2026-05-06,2026-06-11,True,0.0,0.06762894085969033,0.0,0.0,0.08062203195258603
