ticker,name,sector,industry,final_bucket,decision_stage,decision_reason,rank,eligible,robust_return,expected_irr,median_irr,p10_irr,hurdle_cvar,business_quality,model_confidence,data_confidence,evidence_confidence,catastrophic_tail_floor_applied,catastrophic_tail_scenarios
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,114,False,-0.29726750204928976,-0.039234728911560504,-0.02548461982805745,-0.17726750204928973,0.29726750204928976,0.9387,0.58716,1.0,0.58716,False,
BRK-B,Berkshire Hathaway Inc.,Financial Services,Insurance - Diversified,watchlist,step2_model_routing,insurance_model_not_supported,,,,,,,,,,,,,
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,watchlist,step2_model_routing,bank_model_not_supported,,,,,,,,,,,,,
V,Visa Inc.,Financial Services,Financial - Credit Services,watchlist,step2_model_routing,consumer_finance_model_not_supported,,,,,,,,,,,,,
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,watchlist,step5_quality_risk,insufficient_model_confidence,,,,,,,,,0.3381,1.0,,,
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,73,False,-0.2234543043817393,-0.021147378707973955,-0.01260631273617034,-0.10345430438173932,0.2234543043817393,0.9493,0.9162,1.0,0.9162,False,
ORCL,Oracle Corporation,Technology,Software - Infrastructure,watchlist,step2_material_event_gate,material_event_requires_reunderwriting,,,,,,,,,,,,,
MA,Mastercard Incorporated,Financial Services,Financial - Credit Services,watchlist,step2_model_routing,consumer_finance_model_not_supported,,,,,,,,,,,,,
CAT,Caterpillar Inc.,Industrials,Agricultural - Machinery,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,232,False,-0.5466810456476378,-0.27331297798364174,-0.25352480852379805,-0.42668104564763776,0.5466810456476378,0.7048,0.644,1.0,0.644,False,
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,105,False,-0.2855745213880437,-0.0008483755380439065,0.01662768180831338,-0.16557452138804368,0.2855745213880437,0.8471,0.6379,1.0,0.6379,False,
