rank,ticker,price,expected_irr,median_irr,p10_irr,p90_irr,above_hurdle_weight,hurdle_rate,permanent_loss_weight,expected_shortfall,hurdle_cvar,intrinsic_value_low,intrinsic_value_base,intrinsic_value_high,upside_to_base,model_confidence,data_confidence,model_uncertainty,business_quality,valuation_excess,evidence_confidence,name,sector,industry,model_family,market_cap,financial_persistence_score,roic,incremental_roic,wacc,roic_minus_wacc,normalized_operating_margin,current_operating_margin,revenue_cagr,net_debt_to_ebitda,sbc_intensity,net_share_change_cagr,risk_flags,years_of_data,latest_fiscal_year,anchor_source,latest_filing_date,price_as_of,is_price_fresh,downside_penalty,ambiguity_penalty,permanent_loss_penalty,hurdle_penalty,robust_return
1,HRMY,34.46,1.1088084123563022,0.21761682471260435,0.21761682471260435,2.0,1.0,0.12,0.0,0.0,0.0,,57.179682824994906,,0.6593059438477917,,1.0,,0.5875,0.09761682471260436,,"Harmony Biosciences Holdings, Inc.",Healthcare,Biotechnology,general_dcf,1994981615.0,0.5875,0.3020440919491876,0.49186308524939,0.08875772324710124,0.21328636870208634,0.2535176095647129,0.2107813630635731,0.0,-2.0203757111049003,0.054473885866857266,-0.012825325563273537,heavy_sbc,8,2025,ttm,2026-05-07,2026-06-12,True,0.0,,0.0,0.0,
2,LHX,307.79,0.936587327480811,-0.12682534503837817,-0.12682534503837817,2.0,0.5,0.12,0.5,0.12682534503837817,0.24682534503837816,,104.64556038399911,,-0.6600098756164947,,1.0,,0.3974,-0.24682534503837816,,"L3Harris Technologies, Inc.",Industrials,Aerospace & Defense,general_dcf,57339738050.0,0.3974,0.08755766312348091,0.011751043522703598,0.08168423249505757,0.00587343062842334,0.09833066544706151,0.09934599813142324,0.18155465427374273,0.4584060500290867,0.004548651817116061,-0.009152778754501045,thin_interest_coverage;incremental_roic_below_wacc,8,2025,ttm,2026-04-30,2026-06-12,True,0.12682534503837817,,0.25,0.24682534503837816,
3,TNET,47.38,0.44106141771771945,0.46172894712071866,0.2651097686495631,0.5756780079798772,1.0,0.12,0.0,0.0,0.0,89.08054399431495,171.6507879747843,243.91394256373076,2.6228532708903396,0.8031,1.0,0.16119111966515706,0.9324,0.34172894712071866,0.8031,"TriNet Group, Inc.",Industrials,Staffing & Employment Services,general_dcf,2176857185.0,0.9324,0.3025964267824344,,0.08005627441380078,0.22254015236863364,0.08143872997307641,0.05521844660194175,0.05244559690833861,1.7514450867052023,0.01286364535919256,-0.09779347996532628,thin_interest_coverage,8,2025,ttm,2026-04-30,2026-06-12,True,0.0,0.08059555983257853,0.0,0.0,0.2744425174326492
4,HRB,36.52,0.4220510241109878,0.44954718137159955,0.1856667654355988,0.6034429682651534,1.0,0.12,0.0,0.0,0.0,54.332211503084906,127.15017536854845,201.5685297514616,2.481658690266934,0.6752,1.0,0.21863210141477732,0.9301,0.32954718137159955,0.6752,"H&R Block, Inc.",Consumer Cyclical,Personal Products & Services,general_dcf,4629282760.0,0.9301,0.750375211960054,,0.065,0.685375211960054,0.2153561059784242,0.2618077713244983,0.025188188238227216,0.9955650428423283,0.009021984715676152,-0.08929484461765447,,8,2025,ttm,2026-05-06,2026-06-12,True,0.0,0.10931605070738866,0.0,0.0,0.22251025686210402
5,IRWD,3.65,0.37002642257139096,0.6355292739346625,-0.95,1.1590471424162387,0.75,0.12,0.25,0.95,1.0699999999999998,-5.12363420372281,22.773584665558538,84.19876805311947,5.239338264536586,0.5697,1.0,1.0674325712081194,0.5875,0.5155292739346625,0.5697,"Ironwood Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,general_dcf,600837450.0,0.5875,1.054355802689741,,0.065,0.9893558026897411,0.32367614695358415,0.5583213928091305,-0.022236810870901125,1.8418056179994917,0.07228929269201667,-0.03641601589212362,heavy_sbc;peak_cycle_margins,8,2025,ttm,2026-05-07,2026-06-12,True,0.95,0.5337162856040597,0.125,1.0699999999999998,-0.7763029726394226
6,CF,109.48,0.3496753624945995,0.3796054422273301,0.038895961054367954,0.60059460446937,0.75,0.12,0.0,0.0,0.08110403894563203,99.21348604143147,327.78111251274527,708.0423119365873,1.9939816634339174,0.3669,1.0,0.29984232170750097,0.8943,0.2596054422273301,0.3669,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,general_dcf,16819302920.0,0.8943,0.31208152796787686,0.12291746992958627,0.06609181416284567,0.2459897138050312,0.31057439237664275,0.35682462535439446,0.0693970500262917,0.4447576099210823,0.006064690026954178,-0.08877789063171027,cyclical_revenue,8,2025,ttm,2026-05-07,2026-06-12,True,0.0,0.14992116085375048,0.0,0.08110403894563203,0.014145197807575394
7,EEFT,66.66,0.3493308437435189,0.37369925754610445,0.12266826990526172,0.5272565899766051,1.0,0.12,0.0,0.0,0.0,80.9469369690826,193.41093619826637,316.119744665994,1.9014541883928349,0.7,1.0,0.2112941600356717,0.8744,0.25369925754610445,0.7,"Euronet Worldwide, Inc.",Technology,Software - Infrastructure,general_dcf,2538085766.0,0.8744,0.20643879267293616,0.33053712610768354,0.065,0.14143879267293616,0.12108782550866151,0.12136850593249626,0.0763019492988144,0.8473997028231798,0.012935299938739927,-0.04210739667123764,,8,2025,ttm,2026-05-07,2026-06-12,True,0.0,0.10564708001783585,0.0,0.0,0.17758948028227312
8,FISV,53.78,0.332394380835467,0.40771189903607596,-0.14789801031583916,0.6620517355855553,0.75,0.12,0.25,0.14789801031583916,0.26789801031583915,21.835660669147675,167.08204888276643,366.12341980564725,2.1067692242983718,0.4573,1.0,0.4212558729506972,0.6839,0.28771189903607597,0.4573,"Fiserv, Inc.",Technology,Information Technology Services,general_dcf,28678400120.0,0.6839,0.0767878766895658,1.0079318519076124,0.06645547339007854,0.010332403299487258,0.2367339951540479,0.24376481744902798,0.20267803207389457,3.771788079470199,0.01791232388833604,-0.06159539790027424,elevated_leverage;cyclical_revenue,8,2025,ttm,2026-05-06,2026-06-12,True,0.14789801031583916,0.2106279364753486,0.125,0.26789801031583915,-0.1363273588866416
9,HLF,12.09,0.3216080562444404,0.28509785430505874,0.28509785430505874,0.36797332232818003,1.0,0.12,0.0,0.0,0.0,32.03616790391563,33.923626132153686,46.96501132507748,1.8059244112616781,0.7464,1.0,0.04904573401156065,0.6878,0.16509785430505874,0.7464,Herbalife Nutrition Ltd.,Consumer Defensive,Packaged Foods,general_dcf,1253358210.0,0.6878,-0.47341981323942917,-0.47239513312670284,0.08621117875344629,-0.5596309919928755,0.11017586207040977,0.09090200662380674,0.004201601130570998,-0.489002557544757,0.009481668773704172,0.02896846996291713,thin_interest_coverage;incremental_roic_below_wacc,8,2025,ttm,2026-05-06,2026-06-12,True,0.0,0.024522867005780324,0.0,0.0,0.12322903845329584
10,UHS,146.42,0.3215613644977566,0.34038533351267686,0.16207177900942044,0.4434030119562522,1.0,0.12,0.0,0.0,0.0,181.43493581208702,337.413557883427,477.6336023176441,1.304422605405184,0.8533,1.0,0.14506661647341587,0.7846,0.22038533351267686,0.8533,"Universal Health Services, Inc.",Healthcare,Medical - Care Facilities,general_dcf,9166819717.0,0.7846,0.12468849972603302,0.22875878037240152,0.07981769593785343,0.04487080378817959,0.10734202554714209,0.11497840885602606,0.0705902397892153,1.87669620079509,0.006142007240454682,-0.05801175829131966,,8,2025,ttm,2026-05-07,2026-06-12,True,0.0,0.07253330823670794,0.0,0.0,0.18805480508636715
11,CI,298.0,0.3196818394208094,0.3621324226056458,-0.13395331766805602,0.6884158301400022,0.75,0.12,0.25,0.13395331766805602,0.253953317668056,138.19878167731275,887.1510645230682,2612.7310427616694,1.977016995043853,0.4499,1.0,0.42768757390402906,0.7373,0.24213242260564583,0.4499,Cigna Corporation,Healthcare,Medical - Healthcare Plans,general_dcf,78830535702.0,0.7373,0.11515013086565208,,0.065,0.05015013086565208,0.046214788416645225,0.0342371125118729,0.28071776602947707,1.8788619874459933,0.0,-0.054977349109980755,cyclical_revenue,8,2025,ttm,2026-04-30,2026-06-12,True,0.13395331766805602,0.21384378695201453,0.125,0.253953317668056,-0.14501794073777596
12,ALSN,117.35,0.3065616273102933,0.3326792058476713,0.10478694845805878,0.4561011490877718,0.75,0.12,0.0,0.0,0.01521305154194122,122.0370934118385,281.4579482851949,426.3624661232594,1.3984486432483587,0.7294,1.0,0.18377510031485647,0.7911,0.2126792058476713,0.7294,"Allison Transmission Holdings, Inc.",Consumer Cyclical,Auto - Parts,general_dcf,9732539600.0,0.7911,0.11880847772463098,0.9274037347018712,0.07836020477573591,0.04044827294889507,0.3051987791016947,0.24136986301369864,0.014951391020015858,4.186243386243386,0.007248764415156508,-0.04334846534420844,elevated_leverage,8,2025,ttm,2026-05-07,2026-06-12,True,0.0,0.09188755015742824,0.0,0.01521305154194122,0.13991516120335024
13,NSP,36.6,0.30191381240147164,0.31993698356673117,0.09014789813663812,0.47763338433578617,0.75,0.12,0.0,0.0,0.029852101863361874,39.556154884355315,94.7997447729093,163.62738355284822,1.590156961008451,0.6476,1.0,0.204314743099574,0.3966,0.19993698356673117,0.6476,"Insperity, Inc.",Industrials,Staffing & Employment Services,general_dcf,1396992061.0,0.3966,0.2033589129935086,,0.0722903469861372,0.1310685660073714,0.03849484175647018,-0.0023378141437755697,0.08579698848212258,-4.310344827586207,0.008954785672342924,-0.007970268921787649,thin_interest_coverage,8,2025,ttm,2026-04-30,2026-06-12,True,0.0,0.102157371549787,0.0,0.029852101863361874,0.09962708869445322
14,OMC,76.68,0.28655085472855724,0.29315270965453244,0.20139527691062542,0.35850272269453853,1.0,0.12,0.0,0.0,0.0,140.34567890828416,206.9158658084204,267.5544668512821,1.6984333047524829,0.8419,1.0,0.08329672289195655,0.825,0.17315270965453244,0.8419,Omnicom Group Inc.,Communication Services,Advertising Agencies,general_dcf,21854275109.0,0.825,0.12020685388272208,0.02465586598481794,0.06613493826974433,0.05407191561297775,0.14642359336986555,0.13704828393293114,0.017562263432874925,2.3306464613896503,0.005825700645671198,-0.0033931429086506704,incremental_roic_below_wacc,8,2025,ttm,2026-04-29,2026-06-12,True,0.0,0.04164836144597828,0.0,0.0,0.14577726625815085
15,CQP,63.19,0.2734399798340747,0.31977488549891864,-0.11812272854731412,0.5723328768857756,0.75,0.12,0.25,0.11812272854731412,0.23812272854731412,26.634576256962784,169.7146823978183,401.4847096457073,1.6857838645010021,0.4253,1.0,0.36246880271654486,0.8353,0.19977488549891864,0.4253,"Cheniere Energy Partners, L.P.",Energy,Oil & Gas Midstream,general_dcf,30587372260.0,0.8353,0.16549575743191122,2.9186119873817034,0.065,0.10049575743191122,0.32060400537484623,0.2726073187895848,0.07639114650234036,3.6720316622691294,0.0,0.0,elevated_leverage;cyclical_revenue,8,2025,ttm,2026-05-07,2026-06-12,True,0.11812272854731412,0.18123440135827243,0.125,0.23812272854731412,-0.15315846974462402
16,SMPL,12.57,0.27242978336289525,0.2893274570815265,0.13947753086686138,0.37158668842166664,1.0,0.12,0.0,0.0,0.0,16.317103397251923,29.12538214320927,42.25829855154481,1.3170550631033624,0.6567,1.0,0.12635357877740264,0.6445,0.16932745708152652,0.6567,The Simply Good Foods Company,Consumer Defensive,Packaged Foods,general_dcf,1137446730.0,0.6445,0.08383191631566976,0.07183297918119051,0.065,0.01883191631566976,0.15913298190059638,0.1385304983448759,0.18918037450399505,1.298881628549887,0.0,-0.02810705388884105,cyclical_revenue,8,2025,ttm,2026-04-09,2026-06-12,True,0.0,0.06317678938870132,0.0,0.0,0.11119734106543847
17,INVA,22.74,0.26496930739958774,0.2592623708071188,0.14889218241441995,0.39246030556969347,1.0,0.12,0.0,0.0,0.0,31.022032775543735,48.82012830203721,79.49965815334299,1.1468833905909066,0.5598,1.0,0.13499006157763677,0.6518,0.13926237080711878,0.5598,"Innoviva, Inc.",Healthcare,Biotechnology,general_dcf,1678410952.0000002,0.6518,0.04918587010523752,-0.6191721394093233,0.06646352392089828,-0.017277653815660765,0.7687739034065466,0.14846907257817327,0.07217951815748291,-1.754829467257213,0.018800952126340337,-0.03780720364585888,weak_cash_conversion;incremental_roic_below_wacc,8,2025,ttm,2026-05-06,2026-06-12,True,0.0,0.06749503078881838,0.0,0.0,0.07795907517782509
18,DVN,45.31,0.26423455931653733,0.2862790130777284,-0.11954134489642454,0.603921556007117,0.75,0.12,0.25,0.11954134489642454,0.23954134489642454,20.42066762858001,114.99475368624461,352.1337810609378,1.5379552788842332,0.4201,1.0,0.3791284504517708,0.6057,0.1662790130777284,0.4201,Devon Energy Corporation,Energy,Oil & Gas Exploration & Production,general_dcf,28157043639.0,0.6057,0.11008985011601642,0.053291029141707996,0.065,0.04508985011601642,0.24335070512560336,0.18835761349211147,0.09865543909633834,1.011039832910637,0.00609516319307904,-0.016081632778892296,cyclical_revenue;incremental_roic_below_wacc,8,2025,ttm,2026-05-06,2026-06-12,True,0.11954134489642454,0.1895642252258854,0.125,0.23954134489642454,-0.16968753150247085
