as_of,ticker,rank,entry_price,robust_return,expected_irr,median_irr,p10_irr,p90_irr,business_quality,evidence_confidence
2026-07-17,UHS,1,151.16,0.14864179630990781,0.294844843998726,0.3135969422757627,0.14008993011666465,0.4120955613267142,0.7832,0.76779
2026-07-17,FOXA,2,57.62,0.10617622041798226,0.2720871774043189,0.29399153806734835,0.10708771218778568,0.3932779212947934,0.8979,0.68445
2026-07-17,VICI,3,26.87,0.09712285858229781,0.27794303202487836,0.32233928871312045,0.14475426196015206,0.32233928871312045,0.4862356944014846,0.48
2026-07-17,CTSH,4,44.77,0.09027914774840513,0.21484091453312432,0.22348366316873583,0.12701890808530153,0.2853774237097241,0.8655,0.8724
2026-07-17,OMC,5,81.73,0.07163237484559909,0.2373641640660935,0.24409495772561057,0.1537750304036308,0.30749171040952206,0.8014,0.5772384
2026-07-17,ARE,6,50.22,0.07091381968610017,0.24400374297862493,0.267737124346042,0.17280359887637364,0.267737124346042,0.6776109384348231,0.48
2026-07-17,TTD,7,18.59,0.06878518046495508,0.2481899426318705,0.2776529591996223,0.07637862055562437,0.36107523157261306,0.9118,0.713
2026-07-17,CMCSA,8,23.79,0.0297465252446458,0.18873877149890178,0.18434173210989688,0.14883840889669953,0.2374332128791139,0.7638,0.46232086499999997
2026-07-17,BXP,9,69.85,0.027618994590959872,0.1826510065651536,0.20848612367843433,0.10514565522531139,0.20848612367843433,0.6395717358818989,0.48
2026-07-17,CPT,10,112.97,0.025790919250533166,0.19668680356196022,0.2314905932528999,0.09227543448914122,0.2314905932528999,0.5489153021361484,0.48
2026-07-17,ELV,11,373.11,0.015473491429947476,0.1534005051118584,0.14313841550319928,0.12230327116412809,0.20502191827690697,0.8267,0.668736
