ticker,name,exchange,security_type,is_adr,listing_date,sector,industry,country,shares_outstanding,beta,market_cap_hint,as_of,source,fetched_at,price,price_as_of,market_cap,avg_dollar_volume,is_price_fresh
LLY,Eli Lilly and Company,NYSE,common_stock,False,1972-06-01,Healthcare,Drug Manufacturers - General,US,941741000.0,0.506,1126359905640.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,1196.04,2026-07-24,1126359905640.0,3357369174.219032,True
XOM,Exxon Mobil Corporation,NYSE,common_stock,False,1978-01-13,Energy,Oil & Gas Integrated,US,4144947456.002294,0.162,650508053745.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,156.94,2026-07-24,650508053745.0,2315433625.2387094,True
JNJ,Johnson & Johnson,NYSE,common_stock,False,1962-01-02,Healthcare,Drug Manufacturers - General,US,2407220000.0,0.235,634060950161.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,263.4,2026-07-24,634061748000.0,1898252880.5406451,True
ABBV,AbbVie Inc.,NYSE,common_stock,False,2013-01-02,Healthcare,Drug Manufacturers - General,US,1766792796.9771593,0.283,458111516210.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,259.36,2026-07-24,458235379823.99603,1452628616.6674194,True
CAT,Caterpillar Inc.,NYSE,common_stock,False,1929-12-02,Industrials,Agricultural - Machinery,US,460637000.0,1.565,409381921010.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,888.73,2026-07-24,409381921010.0,2742467693.25,True
CVX,Chevron Corporation,NYSE,common_stock,False,1921-06-24,Energy,Oil & Gas Integrated,US,1991600000.0,0.488,387943764000.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,194.79,2026-07-24,387943764000.0,1637769366.7451613,True
UNH,UnitedHealth Group Incorporated,NYSE,common_stock,False,1984-10-17,Healthcare,Medical - Healthcare Plans,US,908144404.000095,0.633,382092676539.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,420.74,2026-07-24,382092676539.0,2557425499.9909678,True
KO,The Coca-Cola Company,NYSE,common_stock,False,1962-01-02,Consumer Defensive,Beverages - Non-Alcoholic,US,4302480000.0,0.349,353878980000.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,82.25,2026-07-24,353878980000.0,1288922050.6809678,True
PG,The Procter & Gamble Company,NYSE,common_stock,False,1978-01-13,Consumer Defensive,Household & Personal Products,US,2328600000.0,0.38,343258926000.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,147.41,2026-07-24,343258926000.0,1269715215.3725808,True
HD,"The Home Depot, Inc.",NYSE,common_stock,False,1981-09-22,Consumer Cyclical,Home Improvement,US,997116711.0006607,0.951,332019922429.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,332.98,2026-07-24,332019922429.0,1564093931.2564516,True
MRK,"Merck & Co., Inc.",NYSE,common_stock,False,1978-01-13,Healthcare,Drug Manufacturers - General,US,2469820000.0,0.205,323719307400.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,131.07,2026-07-24,323719307400.0,1233353458.9496775,True
PM,Philip Morris International Inc.,NYSE,common_stock,False,2008-03-17,Consumer Defensive,Tobacco,US,1558560000.0,0.405,300802080000.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,193.0,2026-07-24,300802080000.0,892996955.2651613,True
DELL,Dell Technologies Inc.,NYSE,common_stock,False,2016-08-17,Technology,Computer Hardware,US,664250942.9992454,1.376,290483579883.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,437.31,2026-07-24,290483579883.0,3388172302.6470966,True
RTX,RTX Corporation,NYSE,common_stock,False,1952-09-15,Industrials,Aerospace & Defense,US,1346683427.9994361,0.298,286789435247.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,212.79,2026-07-24,286560766644.0,987518650.9206452,True
ANET,"Arista Networks, Inc.",NYSE,common_stock,False,2014-06-06,Technology,Computer Hardware,US,1259169438.002184,1.601,219082890518.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,173.99,2026-07-24,219082890518.0,1533186961.8645163,True
TMO,Thermo Fisher Scientific Inc.,NYSE,common_stock,False,1980-03-17,Healthcare,Medical - Diagnostics & Research,US,371621000.0,0.8680583,211177349460.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,568.26,2026-07-24,211177349460.0,1087333811.0387096,True
VZ,Verizon Communications Inc.,NYSE,common_stock,False,1983-11-21,Communication Services,Telecommunications Services,US,4175560000.0,0.238,193662472800.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,46.38,2026-07-24,193662472800.0,1202691131.6874192,True
MCD,McDonald's Corporation,NYSE,common_stock,False,1965-04-21,Consumer Cyclical,Restaurants,US,710506000.0,0.418,188113568560.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,264.76,2026-07-24,188113568560.0,1191549329.8432257,True
APH,Amphenol Corporation,NYSE,common_stock,False,1991-11-08,Technology,"Hardware, Equipment & Parts",US,1230230000.0,1.243,187819214100.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,152.67,2026-07-24,187819214099.99997,1350884454.2993548,True
UNP,Union Pacific Corporation,NYSE,common_stock,False,1980-01-02,Industrials,Railroads,US,593713212.9994794,0.96507996,182571282045.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,307.32,2026-07-24,182459944619.0,816837916.1748387,True
ABT,Abbott Laboratories,NYSE,common_stock,False,1980-03-17,Healthcare,Medical - Devices,US,1741810000.0,0.607,179580611000.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,103.1,2026-07-24,179580611000.0,1213954377.1290324,True
TJX,"The TJX Companies, Inc.",NYSE,common_stock,False,1987-06-26,Consumer Cyclical,Apparel - Retail,US,1104704446.0016863,0.623,170334378529.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,154.22,2026-07-24,170367519662.38007,933306406.5277419,True
DE,Deere & Company,NYSE,common_stock,False,1972-06-01,Industrials,Agricultural - Machinery,US,269937425.0,0.897,169563892888.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,628.16,2026-07-24,169563892888.0,732069829.0035484,True
T,AT&T Inc.,NYSE,common_stock,False,1983-11-21,Communication Services,Telecommunications Services,US,6852390000.0,0.422,165348170700.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,24.13,2026-07-24,165348170700.0,1405738335.212258,True
DIS,The Walt Disney Company,NYSE,common_stock,False,1957-11-12,Communication Services,Entertainment,US,1736510000.0,1.398,164707973500.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,94.85,2026-07-24,164707973500.0,1005716627.3,True
COP,ConocoPhillips,NYSE,common_stock,False,1981-12-31,Energy,Oil & Gas Exploration & Production,US,1218294007.0014968,0.122,146512037282.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,120.26,2026-07-24,146512037282.0,811727337.7719355,True
PFE,Pfizer Inc.,NYSE,common_stock,False,1972-06-01,Healthcare,Drug Manufacturers - General,US,5699440000.0,0.307,139864257600.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,24.54,2026-07-24,139864257600.0,986569388.1693548,True
CVS,CVS Health Corp.,NYSE,common_stock,False,1973-02-21,Healthcare,Medical - Healthcare Plans,US,1275930000.0,0.598,137468698200.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,107.74,2026-07-24,137468698200.0,828443033.0141935,True
DHR,Danaher Corporation,NYSE,common_stock,False,1978-12-29,Healthcare,Medical - Diagnostics & Research,US,702986054.0,0.823,134621829341.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,191.5,2026-07-24,134621829341.0,870867977.4687096,True
LMT,Lockheed Martin Corporation,NYSE,common_stock,False,1977-01-03,Industrials,Aerospace & Defense,US,230564000.0,0.113,134470376150.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,582.6,2026-07-24,134326586400.0,615991775.7870969,True
UBER,"Uber Technologies, Inc.",NYSE,common_stock,False,2019-05-10,Technology,Software - Application,US,2035599012.9966638,1.113,134227398917.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,65.94,2026-07-24,134227398917.0,1459440302.1770966,True
CRM,"Salesforce, Inc.",NYSE,common_stock,False,2004-06-23,Technology,Software - Application,US,819000000.0,1.178,134037540000.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,163.66,2026-07-24,134037540000.0,2372165464.6470966,True
BMY,Bristol-Myers Squibb Company,NYSE,common_stock,False,1972-06-01,Healthcare,Drug Manufacturers - General,US,2042070000.0,0.235,126792126300.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,62.09,2026-07-24,126792126300.0,681878220.1648387,True
SYK,Stryker Corporation,NYSE,common_stock,False,1980-03-17,Healthcare,Medical - Devices,US,383360762.001514,0.778,126604891651.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,330.25,2026-07-24,126604891651.0,848758172.6796774,True
PH,Parker-Hannifin Corporation,NYSE,common_stock,False,1980-03-17,Industrials,Industrial - Machinery,US,126086388.99993925,1.11,124515352593.0,2026-07-24,fmp:company-screener,2026-07-25T01:54:04.684692+00:00,987.54,2026-07-24,124515352593.0,657070102.3319355,True
