scenario,probability,intrinsic_value_per_share,irr_5y,irr_3y,exit_value_per_share,total_return_5y,normalized_roe,terminal_growth,irr_5y_status,scenario_is_finite,ticker,model_family,price,affo_growth
bear,0.25,178.24202383094078,-0.1897388925095721,,178.24202383094078,-0.6507592063974357,0.054532922019239635,0.025,valid,True,BRK-B,insurance,510.37,
base,0.5,676.2546558167792,0.05790099590058251,,676.2546558167792,0.3250282262217199,0.13704863806039103,0.025,valid,True,BRK-B,insurance,510.37,
bull,0.25,1050.1964630705895,0.15525294048941785,,1050.1964630705895,1.0577158984081931,0.19900705839248375,0.025,valid,True,BRK-B,insurance,510.37,
bear,0.25,138.14893751015236,-0.17258495845678634,,138.14893751015236,-0.6121917370514769,0.10310767488802763,0.025,valid,True,JPM,bank,356.23,
base,0.5,234.17696146058893,-0.08047670690541964,,234.17696146058893,-0.34262425550742803,0.1574007140531622,0.025,valid,True,JPM,bank,356.23,
bull,0.25,288.44582133216346,-0.04133526440040314,,288.44582133216346,-0.19028206121841662,0.18808364611032238,0.025,valid,True,JPM,bank,356.23,
bear,0.25,19.646485224743117,-0.20710200578398041,,19.646485224743117,-0.6866089452106696,0.0654848946672089,0.025,valid,True,BAC,bank,62.69,
base,0.5,36.691529868328054,-0.10159220775693678,,36.691529868328054,-0.41471478914774196,0.10060908248500378,0.025,valid,True,BAC,bank,62.69,
bull,0.25,46.41304729726433,-0.058352489177365574,,46.41304729726433,-0.25964193177118633,0.12064190793004807,0.025,valid,True,BAC,bank,62.69,
bear,0.25,35.42800202743754,-0.170588091949204,,35.42800202743754,-0.607489452388239,0.06930626712072673,0.025,valid,True,WFC,bank,90.26,
base,0.5,68.05128947404936,-0.05492079795451554,,68.05128947404936,-0.24605263157490198,0.1101049575703439,0.025,valid,True,WFC,bank,90.26,
bull,0.25,87.46832333557326,-0.006263836984805371,,87.46832333557326,-0.03092927835615711,0.13438790438440948,0.025,valid,True,WFC,bank,90.26,
bear,0.25,16.673779314609,-0.34548982599981015,,16.673779314609,-0.8798892139849517,0.036622939212533706,0.025,valid,True,C,bank,138.82,
base,0.5,60.8089465607567,-0.15218111149494717,,60.8089465607567,-0.561958316087331,0.06738863164241536,0.025,valid,True,C,bank,138.82,
bull,0.25,90.44317968293375,-0.08212243162441168,,90.44317968293375,-0.3484859553167141,0.08804602932593471,0.025,valid,True,C,bank,138.82,
bear,0.25,47.58716591750448,-0.2738011817454462,,47.58716591750448,-0.7980342673902705,,0.025,valid,True,WELL,reit,235.62,0.039999999999999994
base,0.5,83.64890062477724,-0.18707661446279322,,83.64890062477724,-0.6449838696851827,,0.025,valid,True,WELL,reit,235.62,0.06
bull,0.25,83.64890062477724,-0.18707661446279322,,83.64890062477724,-0.6449838696851827,,0.025,valid,True,WELL,reit,235.62,0.06
bear,0.25,67.84818643903506,-0.1295182286007598,,67.84818643903506,-0.5001975216277343,,0.025,valid,True,PLD,reit,135.75,0.039999999999999994
base,0.5,94.11792649530405,-0.07063459422236029,,94.11792649530405,-0.3066819411027326,,0.025,valid,True,PLD,reit,135.75,0.06
bull,0.25,94.11792649530405,-0.07063459422236029,,94.11792649530405,-0.3066819411027326,,0.025,valid,True,PLD,reit,135.75,0.06
bear,0.25,53.367939543606745,-0.24505323940484047,,53.367939543606745,-0.7547654648304074,0.07634698720976336,0.025,valid,True,PGR,insurance,217.62,
base,0.5,174.07605698311986,-0.04366941160140825,,174.07605698311986,-0.20009164147082137,0.19248409528036692,0.025,valid,True,PGR,insurance,217.62,
bull,0.25,264.7751706283211,0.040005629507752216,,264.7751706283211,0.216685831395649,0.2797485890589154,0.025,valid,True,PGR,insurance,217.62,
bear,0.25,20.55892107424858,-0.3387831531083644,,20.55892107424858,-0.8736080101177389,0.050176013625909094,0.025,valid,True,BNY,bank,162.66,
base,0.5,50.91509883438968,-0.20729213958861537,,50.91509883438968,-0.6869845147277163,0.08734953757494074,0.025,valid,True,BNY,bank,162.66,
bull,0.25,70.57173371479216,-0.1538058789101947,,70.57173371479216,-0.5661395935399474,0.11142063088773126,0.025,valid,True,BNY,bank,162.66,
bear,0.25,27.190020789993905,-0.15426428180891816,,27.190020789993905,-0.56731348201792,0.07247144988489887,0.025,valid,True,USB,bank,62.84,
base,0.5,51.4012303641744,-0.039389194228501956,,51.4012303641744,-0.18203007058920428,0.11474215025804672,0.025,valid,True,USB,bank,62.84,
bull,0.25,65.75438380597623,0.009108134763530673,,65.75438380597623,0.04637784541655354,0.13980152809248755,0.025,valid,True,USB,bank,62.84,
bear,0.25,103.07596921520576,-0.1584728595231799,,103.07596921520576,-0.5779726121224789,0.07128627375882023,0.025,valid,True,PNC,bank,244.24,
base,0.5,187.3907473737577,-0.05161151911286643,,187.3907473737577,-0.23275979620963927,0.1091478328930633,0.025,valid,True,PNC,bank,244.24,
bull,0.25,235.24595204682922,-0.00747587104565528,,235.24595204682922,-0.03682463131825575,0.13063721709334689,0.025,valid,True,PNC,bank,244.24,
bear,0.25,99.11769704214477,-0.1094060017679036,,99.11769704214477,-0.43972812705813824,0.1969166916809465,0.025,valid,True,MRSH,insurance,176.91,
base,0.5,152.74056283868643,-0.028952664698824848,,152.74056283868643,-0.13661996021317935,0.2899239543726236,0.025,valid,True,MRSH,insurance,176.91,
bull,0.25,158.5498558637674,-0.021676031198462842,,158.5498558637674,-0.10378239859947214,0.3,0.025,valid,True,MRSH,insurance,176.91,
bear,0.25,71.7417162581578,-0.16604315340470333,,71.7417162581578,-0.5966167205051571,,0.025,valid,True,AMT,reit,177.85,-0.01891551106622445
base,0.5,88.90223911306984,-0.12949400579447157,,88.90223911306984,-0.5001279779979204,,0.025,valid,True,AMT,reit,177.85,0.0010844889337755514
bull,0.25,115.4317120265712,-0.0828206810044757,,115.4317120265712,-0.3509602922318178,,0.025,valid,True,AMT,reit,177.85,0.021084488933775552
