rank,ticker,price,expected_irr,median_irr,p10_irr,p90_irr,above_hurdle_weight,hurdle_rate,permanent_loss_weight,worst_case_shortfall,worst_case_hurdle_gap,expected_shortfall,hurdle_cvar,intrinsic_value_low,intrinsic_value_base,intrinsic_value_high,intrinsic_value_bear,intrinsic_value_bull,scenario_order_inversion,scenario_order_note,upside_to_base,model_confidence,data_confidence,model_uncertainty,business_quality,valuation_excess,evidence_confidence,valuation_status,invalid_reason,invalid_fields,assumption_flags,valuation_alerts,requires_manual_review,roic_status,catastrophic_tail_floor_applied,catastrophic_tail_scenarios,name,sector,industry,model_family,market_cap,financial_persistence_score,roic,incremental_roic,wacc,roic_minus_wacc,normalized_operating_margin,current_operating_margin,revenue_cagr,net_debt_to_ebitda,sbc_intensity,net_share_change_cagr,risk_flags,years_of_data,latest_fiscal_year,anchor_source,latest_filing_date,price_as_of,is_price_fresh,shares_outstanding,beta,specialist_model_note,downside_penalty,ambiguity_penalty,permanent_loss_penalty,hurdle_penalty,robust_return
1,CI,275.28,0.3032401268319518,0.3406342043104814,-0.10532142906158695,0.6370135277684313,0.75,0.12,0.25,0.10532142906158695,0.22532142906158695,0.10532142906158695,0.22532142906158695,123.89306594339003,822.8779672983198,2426.8741739101924,123.89306594339003,2426.8741739101924,False,,1.9892399277038648,0.36466200000000004,1.0,0.39022761841500914,0.729,0.22063420431048142,0.36466200000000004,valid,,,share_change_floor_hit;reinvestment_cap_hit;intrinsic_2x_price,bull_return_extreme,True,ok,False,,Cigna Corporation,Healthcare,Medical - Healthcare Plans,general_dcf,72740120986.0,0.729,0.11300800421130497,,0.06788063829462344,0.045127365916681525,0.046214788416645225,0.03456310954664249,0.28071776602947707,2.049022749118872,0.0,-0.05528176607441315,cyclical_revenue,8.0,2025.0,ttm,2026-07-30,2026-09-18,True,,,,0.10532142906158695,0.19511380920750457,0.125,0.22532142906158695,-0.14486451884931817
2,OMC,76.57,0.29220376770390427,0.2991128505556844,0.20494066507671962,0.3656487046275288,1.0,0.12,0.0,0.0,0.0,0.0,0.0,140.0512934882398,208.58265867516224,271.2233568929885,140.0512934882398,271.2233568929885,False,,1.724078081169678,0.681048,1.0,0.08992257977540459,0.8286,0.17911285055568438,0.681048,valid,,,base_growth_cap_hit;reinvestment_cap_hit;intrinsic_2x_price,,False,ok,False,,Omnicom Group Inc.,Communication Services,Advertising Agencies,general_dcf,21006673220.0,0.8286,0.1273900676923603,0.02465586598481794,0.07116651366884309,0.05622355402351721,0.14642359336986555,0.13922749236745294,0.017562263432874925,2.238764590091214,0.005825700645671198,-0.0033931429086506704,incremental_roic_below_wacc,8.0,2025.0,ttm,2026-07-29,2026-09-18,True,,,,0.0,0.044961289887702295,0.0,0.0,0.12198444864524773
3,TTD,13.92,0.2889057165128179,0.3179393670987337,0.10195105820894243,0.41779307364486157,0.75,0.12,0.0,0.0,0.018048941791057566,0.0,0.018048941791057566,14.562757435585818,30.605014985675798,42.21507407499932,14.562757435585818,42.21507407499932,False,,1.1986361340284337,0.6732,1.0,0.1677250077179596,0.9118,0.19793936709873372,0.6732,valid,,,intrinsic_2x_price,,False,ok,False,,"The Trade Desk, Inc.",Communication Services,Advertising Agencies,general_dcf,6543908037.0,0.9118,0.30957286882499707,0.48860470771143266,0.09736410941576149,0.2122087594092356,0.1711063344506371,0.19608325769579865,0.29379367691523206,-1.4744032829361797,0.20234486555512426,-0.020401036799382544,heavy_sbc,8.0,2025.0,ttm,2026-08-06,2026-09-18,True,,,,0.0,0.0838625038589798,0.0,0.018048941791057566,0.11520384013980997
4,CF,127.7,0.2692523190620705,0.2956892375310418,0.01049460159265439,0.47513619959354403,0.75,0.12,0.0,0.0,0.1095053984073456,0.0,0.1095053984073456,99.11367483964783,290.413751296396,583.7657186905851,99.11367483964783,583.7657186905851,False,,1.274187559094722,0.36441,1.0,0.25138849900044485,0.8943,0.17568923753104182,0.36441,valid,,,share_change_floor_hit;intrinsic_2x_price,,False,ok,False,,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,general_dcf,19618423300.0,0.8943,0.3503059009230228,0.12291746992958627,0.07169304375919827,0.2786128571638245,0.31057439237664275,0.3811861997674118,0.0693970500262917,0.295205836373111,0.006064690026954178,-0.08995899643941663,cyclical_revenue,8.0,2025.0,ttm,2026-08-06,2026-09-18,True,,,,0.0,0.12569424950022243,0.0,0.1095053984073456,-0.04548248335865865
5,VICI,23.72,0.262422584727373,0.30041789080092896,0.14843666650670517,0.30041789080092896,1.0,0.12,0.0,0.0,0.0,0.0,0.0,47.385987356714296,88.21234423223055,88.21234423223055,47.385987356714296,88.21234423223055,False,,2.718901527497072,0.6,0.8,0.09399061214711188,0.5371809100998889,0.18041789080092896,0.48,valid,,,specialist_model_v1,,False,specialist,False,,VICI Properties Inc.,Real Estate,REIT - Diversified,reit,26117559438.999996,,,,,,,,,,,,,,,,,2026-09-18,True,1101077548.0185497,0.682,P/AFFO Gordon proxy; no property-level NOI or maintenance-capex detail,0.0,0.04699530607355594,0.0,0.0,0.0866005875844459
6,UHS,176.69,0.24018636358377993,0.25723899727745453,0.09336751865339468,0.352899941126816,0.75,0.12,0.0,0.0,0.026632481346605313,0.0,0.026632481346605313,170.0998671832041,312.86030522956264,442.3210631262695,170.0998671832041,442.3210631262695,False,,0.7706735255507535,0.76392,1.0,0.13684861123671066,0.7751,0.13723899727745453,0.76392,valid,,,share_change_floor_hit,,False,ok,False,,"Universal Health Services, Inc.",Healthcare,Medical - Care Facilities,general_dcf,10696168035.0,0.7751,0.12470256284496385,0.22875878037240152,0.08557084554437827,0.03913171730058558,0.10734202554714209,0.11363584295818038,0.0705902397892153,1.8978183169217218,0.006142007240454682,-0.06711856509068381,,8.0,2025.0,ttm,2026-08-07,2026-09-18,True,,,,0.0,0.06842430561835533,0.0,0.026632481346605313,0.07820713345358776
7,EOG,144.23,0.22286318484111695,0.2452512082119938,-0.034950713551370395,0.4359010364918505,0.75,0.12,0.0,0.034950713551370395,0.15495071355137038,0.034950713551370395,0.15495071355137038,91.65048681147148,282.40535331014996,607.7521076238847,91.65048681147148,607.7521076238847,False,,0.9580208923951326,0.36828,1.0,0.25437747502161046,0.8742,0.12525120821199381,0.36828,valid,,,reinvestment_cap_hit,,False,ok,False,,"EOG Resources, Inc.",Energy,Oil & Gas Exploration & Production,general_dcf,76821080670.0,0.8742,0.2326616405599142,0.11979666979573474,0.07276514287582582,0.15989649768408837,0.3240782636756039,0.3907246896964259,0.03975957813758413,0.23401999733428613,0.00851227649927282,-0.034084377593526116,cyclical_revenue,8.0,2025.0,ttm,2026-08-04,2026-09-18,True,,,,0.034950713551370395,0.12718873751080523,0.0,0.15495071355137038,-0.1088231985910573
8,FOXA,64.45,0.21972047559975183,0.23853465236024934,0.07385946965077891,0.3279531280277297,0.75,0.12,0.0,0.0,0.04614053034922108,0.0,0.04614053034922108,64.29792150900373,117.441313653677,160.52952389051978,64.29792150900373,160.52952389051978,False,,0.8222081249600774,0.691578,1.0,0.13629948918847537,0.9035,0.11853465236024935,0.691578,valid,,,forward_roic_cap_hit;share_change_floor_hit,,False,ok,False,,Fox Corporation,Communication Services,Entertainment,general_dcf,28261637131.0,0.9035,0.17612598679161487,3.3111584495556783,0.07237338330593916,0.1037526034856757,0.19670761064330844,0.19531706177741445,0.060010212762140025,0.6394141145139813,0.007707579119467477,-0.06145161573051794,,8.0,2026.0,ttm,2026-08-06,2026-09-18,True,,,,0.0,0.06814974459423769,0.0,0.04614053034922108,0.03583542746077545
9,ARE,53.3,0.21053544419697084,0.23218254739900468,0.14559413459086934,0.23218254739900468,1.0,0.12,0.0,0.0,0.0,0.0,0.0,105.16739486303491,151.3918426051738,151.3918426051738,105.16739486303491,151.3918426051738,False,,1.8403722815229604,0.6,0.8,0.061294206404067665,0.6946701556259468,0.11218254739900468,0.48,valid,,,specialist_model_v1,,False,specialist,False,,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,reit,9288537700.0,,,,,,,,,,,,,,,,,2026-09-18,True,174269000.0,1.168,P/AFFO Gordon proxy; no property-level NOI or maintenance-capex detail,0.0,0.030647103202033833,0.0,0.0,0.053847622751522245
10,CMCSA,22.74,0.20341877252794804,0.20753078651614493,0.1541033040266484,0.24451021305285398,1.0,0.12,0.0,0.0,0.0,0.0,0.0,30.364182422522102,40.56955723074379,51.85352900507129,30.364182422522102,51.85352900507129,False,,0.7840614437442301,0.6025185000000001,0.85,0.06162789951310278,0.7577,0.08753078651614493,0.5121407250000001,valid,,,forward_roic_floor_hit;share_change_floor_hit;reinvestment_cap_hit,,False,ok,False,,Comcast Corporation,Communication Services,Telecommunications Services,general_dcf,80695996580.0,0.7577,0.08089660726288868,-0.010702595763399403,0.06544954257317503,0.015447064689713644,0.1873066409912772,0.14662343380969536,0.039212419385326935,2.427728700143809,0.010207942618366071,-0.06941760974801958,thin_interest_coverage;incremental_roic_below_wacc,8.0,2025.0,ttm,2026-07-23,2026-09-18,True,,,,0.0,0.03081394975655139,0.0,0.0,0.0448280804661987
