ticker,name,sector,industry,final_bucket,decision_stage,decision_reason,rank,eligible,robust_return,expected_irr,median_irr,p10_irr,worst_case_hurdle_gap,business_quality,model_confidence,data_confidence,evidence_confidence,catastrophic_tail_floor_applied,catastrophic_tail_scenarios
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,160,False,-0.308204229427356,-0.05184904510097109,-0.03839303831264257,-0.18820422942735598,0.308204229427356,0.9387,0.58716,0.85,0.499086,False,
BRK-B,Berkshire Hathaway Inc.,Financial Services,Insurance - Diversified,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,146,False,-0.29546325757471403,0.038305739082033746,0.07653968937246192,-0.17546325757471404,0.29546325757471403,0.2635723426046663,0.6,0.8,0.48,False,
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,129,False,-0.2739760370018446,-0.07333574497417839,-0.05979623111267596,-0.1539760370018446,0.2739760370018446,0.5899339399080994,0.6,0.8,0.48,False,
V,Visa Inc.,Financial Services,Financial - Credit Services,watchlist,step2_model_routing,consumer_finance_model_not_supported,,,,,,,,,,,,,
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,98,False,-0.2407594903054996,-0.04091189363571172,-0.03293121385795526,-0.1207594903054996,0.2407594903054996,0.9489,0.9161,1.0,0.9161,False,
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,watchlist,step5_quality_risk,insufficient_model_confidence,,,,,,,,,0.3378,1.0,,,
MA,Mastercard Incorporated,Financial Services,Financial - Credit Services,watchlist,step2_model_routing,consumer_finance_model_not_supported,,,,,,,,,,,,,
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,163,False,-0.3106572091218549,-0.030488633593631645,-0.013527075189631407,-0.19065720912185494,0.3106572091218549,0.8465,0.6378,1.0,0.6378,False,
CAT,Caterpillar Inc.,Industrials,Agricultural - Machinery,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,275,False,-0.5549136433276727,-0.28297878780913377,-0.2633339849013282,-0.4349136433276727,0.5549136433276727,0.7041,0.6439,1.0,0.6439,False,
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,162,False,-0.31053257544925983,-0.09871074616518224,-0.08281790711002923,-0.19053257544925983,0.31053257544925983,0.5354501514449488,0.6,0.8,0.48,False,
ORCL,Oracle Corporation,Technology,Software - Infrastructure,watchlist,step2_material_event_gate,material_event_requires_reunderwriting,,,,,,,,,,,,,
GE,GE Aerospace,Industrials,Aerospace & Defense,hard_filter_rejected,step2_hard_filters,security_type,,,,,,,,,,,,,
UNH,UnitedHealth Group Incorporated,Healthcare,Medical - Healthcare Plans,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,44,False,-0.15297182629175943,0.016352275854660585,0.011252347745175967,-0.032971826291759446,0.15297182629175943,0.7425,0.6666300000000001,1.0,0.6666300000000001,False,
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,165,False,-0.3136672712385189,-0.06838346502190687,-0.05308585506863889,-0.19366727123851887,0.3136672712385189,0.9097,0.8096,1.0,0.8096,False,
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,120,False,-0.2670608968826127,-0.11133014533224919,-0.1133668227892485,-0.14706089688261267,0.2670608968826127,0.9626,0.76905,1.0,0.76905,False,
