ticker,name,exchange,security_type,is_adr,listing_date,sector,industry,country,shares_outstanding,beta,market_cap_hint,as_of,source,fetched_at,price,price_as_of,market_cap,avg_dollar_volume,is_price_fresh
LLY,Eli Lilly and Company,NYSE,common_stock,False,1972-06-01,Healthcare,Drug Manufacturers - General,US,941741000.0,0.517,1139977480500.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,1210.5,2026-07-02,1139977480500.0,3601072983.78625,True
JNJ,Johnson & Johnson,NYSE,common_stock,False,1962-01-02,Healthcare,Drug Manufacturers - General,US,2407220000.0,0.256,633195148800.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,263.04,2026-07-02,633195148800.0,1861320066.315,True
XOM,Exxon Mobil Corporation,NYSE,common_stock,False,1978-01-13,Energy,Oil & Gas Integrated,US,4144949999.9999995,0.149,567941049000.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,137.02,2026-07-02,567941049000.0,2647210309.825625,True
ABBV,AbbVie Inc.,NYSE,common_stock,False,2013-01-02,Healthcare,Drug Manufacturers - General,US,1766792820.9981997,0.309,461256601778.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,261.07,2026-07-02,461256601778.0,1686858647.4965625,True
CAT,Caterpillar Inc.,NYSE,common_stock,False,1929-12-02,Industrials,Agricultural - Machinery,US,460637000.0,1.603,443837568610.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,963.53,2026-07-02,443837568610.0,2781748085.825,True
UNH,UnitedHealth Group Incorporated,NYSE,common_stock,False,1984-10-17,Healthcare,Medical - Healthcare Plans,US,908144403.9989655,0.65,386288303685.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,425.36,2026-07-02,386288303685.0,2632669175.7384377,True
KO,The Coca-Cola Company,NYSE,common_stock,False,1962-01-02,Consumer Defensive,Beverages - Non-Alcoholic,US,4302480000.0,0.354,362010667200.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,84.14,2026-07-02,362010667200.0,1344602287.9034374,True
HD,"The Home Depot, Inc.",NYSE,common_stock,False,1981-09-22,Consumer Cyclical,Home Improvement,US,997116682.0005589,0.974,356868060488.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,357.9,2026-07-02,356868060488.0,1563157839.3728125,True
PG,The Procter & Gamble Company,NYSE,common_stock,False,1978-01-13,Consumer Defensive,Household & Personal Products,US,2328598977.9986787,0.385,352549885269.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,151.41,2026-07-02,352573171258.7799,1268171355.43,True
CVX,Chevron Corporation,NYSE,common_stock,False,1921-06-24,Energy,Oil & Gas Integrated,US,1991600000.0,0.472,336998636000.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,169.21,2026-07-02,336998636000.0,1892999887.8896875,True
