ticker,name,exchange,security_type,is_adr,listing_date,sector,industry,country,shares_outstanding,beta,market_cap_hint,as_of,source,fetched_at
LLY,Eli Lilly and Company,NYSE,common_stock,False,1972-06-01,Healthcare,Drug Manufacturers - General,US,941741000.0,0.506,1139977480500.0,2026-07-02,fmp:company-screener,2026-07-04T02:04:37.048942+00:00
BRK-B,Berkshire Hathaway Inc.,NYSE,common_stock,False,1996-05-09,Financial Services,Insurance - Diversified,US,2156853702.9993305,0.617,1095207173309.0,2026-07-02,fmp:company-screener,2026-07-04T02:04:37.048942+00:00
JPM,JPMorgan Chase & Co.,NYSE,common_stock,False,1980-03-17,Financial Services,Banks - Diversified,US,2679511417.9986243,1.0,896216183978.0,2026-07-02,fmp:company-screener,2026-07-04T02:04:37.048942+00:00
V,Visa Inc.,NYSE,common_stock,False,2008-03-19,Financial Services,Financial - Credit Services,US,1916826361.0001934,0.765,694140330109.0,2026-07-02,fmp:company-screener,2026-07-04T02:04:37.048942+00:00
JNJ,Johnson & Johnson,NYSE,common_stock,False,1962-01-02,Healthcare,Drug Manufacturers - General,US,2407220000.0,0.256,633195148800.0,2026-07-02,fmp:company-screener,2026-07-04T02:04:37.048942+00:00
XOM,Exxon Mobil Corporation,NYSE,common_stock,False,1978-01-13,Energy,Oil & Gas Integrated,US,4144949999.9999995,0.149,567941049000.0,2026-07-02,fmp:company-screener,2026-07-04T02:04:37.048942+00:00
MA,Mastercard Incorporated,NYSE,common_stock,False,2006-05-25,Financial Services,Financial - Credit Services,US,883583874.0002595,0.738,476596305797.0,2026-07-02,fmp:company-screener,2026-07-04T02:04:37.048942+00:00
ABBV,AbbVie Inc.,NYSE,common_stock,False,2013-01-02,Healthcare,Drug Manufacturers - General,US,1766792820.9981997,0.309,461256601778.0,2026-07-02,fmp:company-screener,2026-07-04T02:04:37.048942+00:00
CAT,Caterpillar Inc.,NYSE,common_stock,False,1929-12-02,Industrials,Agricultural - Machinery,US,460637000.0,1.603,443837568610.0,2026-07-02,fmp:company-screener,2026-07-04T02:04:37.048942+00:00
BAC,Bank of America Corporation,NYSE,common_stock,False,1973-02-21,Financial Services,Banks - Diversified,US,7096590650.996084,1.196,416782768933.0,2026-07-02,fmp:company-screener,2026-07-04T02:04:37.048942+00:00
ORCL,Oracle Corporation,NYSE,common_stock,False,1986-03-12,Technology,Software - Infrastructure,US,2880470000.0,1.655,404043526900.0,2026-07-02,fmp:company-screener,2026-07-04T02:04:37.048942+00:00
GE,GE Aerospace,NYSE,spac,False,1962-01-02,Industrials,Aerospace & Defense,US,1044829621.9988345,1.375,394444078897.0,2026-07-02,fmp:company-screener,2026-07-04T02:04:37.048942+00:00
UNH,UnitedHealth Group Incorporated,NYSE,common_stock,False,1984-10-17,Healthcare,Medical - Healthcare Plans,US,908144403.9989655,0.65,386288303685.0,2026-07-02,fmp:company-screener,2026-07-04T02:04:37.048942+00:00
KO,The Coca-Cola Company,NYSE,common_stock,False,1962-01-02,Consumer Defensive,Beverages - Non-Alcoholic,US,4302480000.0,0.354,362010667200.0,2026-07-02,fmp:company-screener,2026-07-04T02:04:37.048942+00:00
